Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
Nippon Paint Ind...,4.1,(550 Reviews),Private,Osaka + 81 more,142 years old,1k-5k Employees (India)
Aviva Life Insur...,4.1,(550 Reviews),JV,London + 86 more,327 years old,1k-5k Employees (India)
Bank of India,3.9,(550 Reviews),Private,"Mumbai,Maharashtra + 133 more",117 years old,50k-1 Lakh Employees (India)
Provana,3.9,(549 Reviews),Private,"Lisle,Illinois + 2 more",12 years old,501-1k Employees (India)
Teva Pharmaceuti...,4.1,(792 Reviews),Private,"Dublin,Dublin + 29 more",44 years old,1k-5k Employees (India)
MakeMyTrip,4.0,(746 Reviews),Public,"Gurgaon,Haryana + 35 more",23 years old,1k-5k Employees (India)
ArcelorMittal Ni...,4.1,(548 Reviews),"Surat,Gujarat + 26 more",5k-10k Employees (India),,
Secure Meters,4.2,(548 Reviews),Public,"Chandlers Ford,Eastleigh + 46 more",36 years old,1k-5k Employees (India)
GlaxoSmithKline ...,4.6,(566 Reviews),Public,London + 86 more,23 years old,1k-5k Employees (India)
Kinara Capital,4.5,(547 Reviews),Private,"Bangalore,Karnataka + 91 more",12 years old,1k-5k Employees (India)
TaskUs,3.8,(547 Reviews),Private,"New Braunfels,Texas + 9 more",15 years old,1k-5k Employees (India)
Tata steel BSL,4.0,(547 Reviews),Public,"Mumbai,Maharashtra + 26 more",36 years old,10k-50k Employees (India)
Minda Corporatio...,3.8,(652 Reviews),Public,Gurugram + 38 more,65 years old,1k-5k Employees (India)
Samsung Engineer...,4.3,(546 Reviews),Private,"Suwon-Si,Gyeonggi-Do + 39 more",17 years old,1k-5k Employees (India)
Aditya Birla Hea...,4.0,(546 Reviews),Private,Mumbai + 112 more,8 years old,1k-5k Employees (India)
TNQ Technologies,3.6,(545 Reviews),Private,Chennai + 5 more,25 years old,1k-5k Employees (India)
Genius Consultan...,3.9,(544 Reviews),Private,"Kolkata,West Bengal + 63 more",30 years old,201-500 Employees (India)
Wistron,3.8,(544 Reviews),Taipei + 8 more,22 years old,201-500 Employees (India),
HARMAN,4.0,(1.7k Reviews),Public,"Stamford,Connecticut + 19 more",14 years old,5k-10k Employees (India)
Precision Techse...,4.0,(543 Reviews),Private,Chennai + 74 more,24 years old,1k-5k Employees (India)
Colliers Interna...,4.1,(542 Reviews),Private,Ontario + 29 more,28 years old,1k-5k Employees (India)
Visionary RCM In...,3.5,(541 Reviews),Private,"Chennai,Tamil Nadu + 10 more",17 years old,1k-5k Employees (India)
Imperial Auto In...,3.8,(541 Reviews),Public,"Faridabad,Haryana + 22 more",54 years old,1k-5k Employees (India)
Tata 1mg,4.0,(539 Reviews),Private,"Gurgaon,Haryana + 39 more",8 years old,1k-5k Employees (India)
GE Power,4.3,(751 Reviews),Public,"Schenectady,Düsseldorf + 44 more",31 years old,1k-5k Employees (India)
Xebia,4.2,(538 Reviews),Private,"Hilversum,Hilversum + 8 more",22 years old,1k-5k Employees (India)
Air India Sats A...,3.9,(538 Reviews),Private,"Mumbai,Maharashtra + 22 more",13 years old,1k-5k Employees (India)
LivSpace,3.7,(537 Reviews),Private,"Bangalore,Karnataka + 23 more",8 years old,1k-5k Employees (India)
ThyssenKrupp Ind...,4.1,(534 Reviews),Private,"Pune,Maharashtra + 34 more",76 years old,1k-5k Employees (India)
Godrej Propertie...,3.7,(533 Reviews),Public,"Mumbai,Maharashtra + 22 more",33 years old,1k-5k Employees (India)
Bechtel,4.2,(533 Reviews),Private,"Reston,Virginia + 20 more",125 years old,1k-5k Employees (India)
Ahluwalia Contra...,3.9,(532 Reviews),Public,"Delhi/NCR,New Delhi + 32 more",58 years old,1k-5k Employees (India)
Alok Industries,3.9,(532 Reviews),Public,"Mumbai,Maharashtra + 20 more",37 years old,1k-5k Employees (India)
Airtel Payments ...,4.2,(532 Reviews),Public,"Delhi/NCR,New Delhi + 146 more",7 years old,501-1k Employees (India)
Carnival Cruise ...,4.6,(532 Reviews),Public,"Miami,Florida + 18 more",51 years old,1k-5k Employees (India)
Urban Company,3.7,(532 Reviews),Private,"Gurgaon,Haryana + 38 more",8 years old,1k-5k Employees (India)
Softenger,4.2,(532 Reviews),Private,"Pune,Maharashtra + 22 more",24 years old,501-1k Employees (India)
Vedanta Aluminiu...,4.0,(531 Reviews),Private,"Jharsuguda,Odisha + 23 more",20 years old,1k-5k Employees (India)
FIS,3.9,(531 Reviews),Pune + 14 more,,,
Jacobs Engineeri...,4.2,(537 Reviews),Private,"Dallas,TX + 25 more",76 years old,201-500 Employees (India)
UBS,3.8,(530 Reviews),Private,Zurich + 23 more,8 years old,5k-10k Employees (India)
Diageo,4.1,(1k Reviews),Public,London + 65 more,26 years old,1k-5k Employees (India)
HT Media,3.8,(722 Reviews),Public,"Delhi/NCR,Delhi + 35 more",99 years old,1k-5k Employees (India)
Hitachi Systems ...,4.0,(529 Reviews),Private,"Chiyoda City,Tokyo + 65 more",32 years old,1k-5k Employees (India)
Parekh Integrate...,4.2,(529 Reviews),Private,"Mumbai,Maharashtra + 63 more",42 years old,1k-5k Employees (India)
CarDekho,3.6,(529 Reviews),Private,"Jaipur,Rajasthan + 49 more",15 years old,1k-5k Employees (India)
Napino Auto & El...,4.1,(528 Reviews),Public,"Gurgaon/Gurugram,Haryana + 5 more",26 years old,1k-5k Employees (India)
Fareportal,3.3,(528 Reviews),Private,"New York,New York + 7 more",21 years old,1k-5k Employees (India)
Medha Servo Driv...,4.2,(527 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 36 more",39 years old,501-1k Employees (India)
HighRadius,3.2,(527 Reviews),Private,"Houston,Texas + 6 more",17 years old,1k-5k Employees (India)
HFCL,4.1,(627 Reviews),Public,"Delhi/NCR,New Delhi + 74 more",36 years old,1k-5k Employees (India)
Exela Technologi...,3.6,(526 Reviews),Private,"Irving,Texas + 12 more",12 years old,1k-5k Employees (India)
